station,sensor,"latitude (degree)","longitude (degree)",name,source,"platform type","start date","end date"
urn:ioos:station:edu.ucdavis.bml:Hog_Island_Oyster,urn:ioos:sensor:edu.ucdavis.bml:Hog_Island_Oyster:ph,38.162,-122.8939,"Hog Island Oyster","University of California Davis, Bodega Marine Laboratory",fixed,2014-05-31T17:59:11Z,2016-11-28T02:00:17Z
urn:ioos:station:gov.usgs.waterdata:11337190,urn:ioos:sensor:gov.usgs.waterdata:11337190:ph,38.0521424,-121.6888428,"SAN JOAQUIN R A JERSEY POINT CA","USGS National Water Information System (NWIS)",fixed,2016-09-20T18:45:00Z,2016-11-28T00:45:00Z
urn:ioos:station:nerrs:sfbgcwq,urn:ioos:sensor:nerrs:sfbgcwq:ph,38.0159,-122.5085,"Gallinas Creek (sfbgcwq)","NOAA National Estuarine Research Reserve System (NERRS)",fixed,2016-08-30T01:15:00Z,2016-11-28T01:30:00Z
urn:ioos:station:nerrs:sfbccwq,urn:ioos:sensor:nerrs:sfbccwq:ph,38.0012,-122.4604,"China Camp (sfbccwq)","NOAA National Estuarine Research Reserve System (NERRS)",fixed,2016-08-30T01:30:00Z,2016-11-28T01:15:00Z
urn:ioos:station:gov.usgs.waterdata:11467000,urn:ioos:sensor:gov.usgs.waterdata:11467000:ph,38.50852336,-122.9277737,"RUSSIAN R NR GUERNEVILLE CA","USGS National Water Information System (NWIS)",fixed,2015-05-05T12:00:00Z,2016-11-28T01:15:00Z
urn:ioos:station:nerrs:sfbsmwq,urn:ioos:sensor:nerrs:sfbsmwq:ph,38.1841,-122.0136,"Second Mallard (sfbsmwq)","NOAA National Estuarine Research Reserve System (NERRS)",fixed,2016-08-30T01:15:00Z,2016-11-28T01:30:00Z
urn:ioos:station:nerrs:sfbfmwq,urn:ioos:sensor:nerrs:sfbfmwq:ph,38.1949,-122.0328,"First Mallard (sfbfmwq)","NOAA National Estuarine Research Reserve System (NERRS)",fixed,2016-08-30T01:15:00Z,2016-11-28T01:30:00Z
urn:ioos:station:cencoos:Tiburon,urn:ioos:sensor:cencoos:Tiburon:ph,37.8915,-122.4467,"(TIBC1) Tiburon","Central & Northern California Ocean Observing System (CeNCOOS)",fixed,2008-08-08T01:48:50Z,2016-11-26T21:55:13Z
urn:ioos:station:edu.sfsu:CMA,urn:ioos:sensor:edu.sfsu:CMA:ph,38.0657,-122.2302,"Carquinez","San Francisco State University CMA",fixed,2008-02-21T22:06:51Z,2016-11-25T06:07:12Z
